Labels,Scores
1,0.8494934
1,1.0
1,0.92003465
1,0.7037467
1,0.9545255
1,0.7773304
1,0.8591648
1,0.7103346
1,0.8369553
1,0.70039064
1,0.75859374
1,0.7200576
1,0.7479047
1,0.52431744
1,0.64275056
1,0.6802828
1,0.7207122
1,0.7615299
1,0.73013836
1,0.78035915
1,0.5862249
1,0.65761125
1,0.7280157
1,0.8172189
1,0.6141973
1,0.8565738
1,0.67692775
1,0.5997723
1,0.7265108
1,0.5451357
1,0.5511353
1,0.46335918
1,0.6460508
1,0.5870784
1,0.5298551
1,0.3534198
1,0.57880455
1,0.44054875
1,0.4442216
1,0.1912707
1,0.07908136
1,0.57193464
1,0.5470889
1,0.4430471
1,0.5075035
1,0.4429745
1,0.35146976
1,0.12762043
1,0.19674413
1,0.104443796
1,0.061058234
1,0.0
1,0.0043589724
1,0.10636439
1,0.24425925
1,0.16698904
1,0.042885676
1,0.23254623
1,0.32526436
1,0.3913635
1,0.309527
1,0.2590747
1,0.44556442
1,0.5388161
0,0.48023307
0,0.5565782
0,0.62897485
0,0.7613258
0,0.61302495
0,0.6055025
0,0.63292235
0,0.6003774
0,0.7060114
0,0.650776
0,0.44488037
0,0.78667873
0,0.7037383
0,0.53477705
0,0.5918847
0,0.7483025
0,0.8893103
0,0.5426089
0,0.7945558
0,0.87896746
0,0.6749619
0,0.85621285
0,0.71761185
0,0.65205675
0,0.74745536
0,0.6238634
0,0.43436915
0,0.60246426
0,0.7026922
0,0.8709736
0,0.51907235
0,0.8206886
1,0.26086274
1,0.12916772
1,0.077545576
1,0.051215746
1,0.037840616
1,0.106160685
1,0.14228654
1,0.0740514
1,0.1601162
1,0.28255036
1,0.19111703
1,0.2823973
1,0.3011259
1,0.38787496
1,0.43390256
1,0.43107837
1,0.45232204
1,0.43356833
1,0.49776435
1,0.502377
1,0.5541407
1,0.5893701
1,0.66280234
1,0.62333715
1,0.596641
1,0.61403275
1,0.60459447
1,0.64600396
1,0.60730046
1,0.62254995
1,0.6165332
1,0.75773686
1,0.7493309
1,0.7303452
1,0.66499114
1,0.638272
1,0.6606291
1,0.659468
1,0.61150867
1,0.61103964
1,0.6621534
1,0.6518097
1,0.6972756
1,0.7180712
1,0.6859241
1,0.7410622
1,0.7473771
1,0.792839
1,0.75525093
1,0.5730011
1,0.49918145
1,0.71122974
1,0.6472888
1,0.61617494
1,0.6361222
1,0.74301904
1,0.7441911
1,0.7056891
1,0.75390697
1,0.8732526
1,0.8932315
1,0.9329197
1,0.8761304
1,0.8942402
1,0.931496
1,0.90327954
1,0.980664
1,0.9632999
1,0.84500456
1,0.8244524
1,0.8019961
1,0.7517397
1,0.9097683
1,0.900977
1,0.8562287
1,0.8964831
1,0.9243463
1,0.9263542
1,1.0
1,0.8834605
1,0.9744434
1,0.9688345
1,0.9452783
1,0.8326825
1,0.89491516
1,0.92435235
0,0.94489497
0,0.90741014
